State,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
MT,2017,0.92,1.74,1.83,2.13,1.54,1.73,0.43,0.37,2.1,1.17,1.71,1.81,,
MT,2018,1.15,2.09,1.42,2.15,2.79,3.64,0.77,1.12,,,,,,
NE,2010,0.37,0.73,1.69,2.97,3.03,7.4,4.03,2.85,2.04,0.92,0.67,0.37,,
NE,2011,0.93,0.64,0.88,2.8,5.43,3.99,3.71,3.56,0.88,1.92,0.48,0.59,,
NE,2012,0.16,1.34,0.57,3.13,2.04,1.65,1.03,1.06,0.49,0.88,0.29,0.72,,
NE,2013,0.32,0.83,0.95,2.77,4.86,2.43,2.11,3,2.32,2.8,0.78,0.27,,
NE,2014,0.22,0.64,0.5,1.99,2.63,7.23,1.72,4.7,2.57,1.34,0.32,1.12,,
NE,2015,0.21,0.68,0.24,2.64,5.89,4.73,3.33,2.83,2.54,1.43,1.95,1.6,,
NE,2016,0.4,0.79,1.16,5.2,4.39,2.2,3.55,2.57,2.21,1.16,0.86,0.82,,
NE,2017,1,0.72,1.55,2.57,4.7,1.53,2.65,4.31,2.73,2.96,0.23,0.41,,
NE,2018,0.72,0.68,1.13,1.51,4.72,5.22,4.44,2.54,,,,,,
NV,2010,1.45,1.03,0.94,1.27,1.07,0.2,0.35,0.25,0.26,2.23,1.19,2.82,,
NV,2011,0.29,0.83,1.57,1.22,1.53,0.55,0.5,0.23,0.48,0.93,0.38,0.11,,
NV,2012,0.95,0.53,1.01,0.67,0.3,0.09,0.85,1,0.53,0.67,0.48,1.81,,
NV,2013,0.68,0.38,0.42,0.51,0.7,0.12,0.76,0.54,1.39,0.59,0.74,0.63,,
NV,2014,0.51,1.2,1.03,0.66,0.79,0.12,0.77,1.49,1.19,0.12,0.71,1.33,,
NV,2015,0.5,0.58,0.38,0.7,2.11,0.56,1.22,0.49,0.34,1.83,1.29,1.34,,
NV,2016,1.72,0.48,1.01,1.58,1,0.43,0.21,0.32,0.6,1.36,0.48,1.96,,
NV,2017,2.88,1.56,1.14,1.12,0.53,0.53,0.61,0.63,0.96,0.17,0.88,0.19,,
NV,2018,0.96,0.42,1.62,0.86,1.48,0.14,0.76,0.25,,,,,,
NH,2010,2.78,4.1,7.41,7.41,2.82,2.29,3.48,3.75,2.95,7.84,3.66,4.3,,
NH,2011,2.57,3.44,4.87,4.87,5.42,5.09,2.69,9.09,6.03,6.22,3.41,4.22,,
NH,2012,3.21,1.14,1.95,1.95,3.24,5.74,2.95,4.76,5.06,5.51,0.8,5.43,,
NH,2013,1.98,3.09,2.29,2.29,2.44,5.48,5.9,3.34,5.08,1.55,3.89,3.68,,
NH,2014,3.46,3.68,4.11,4.11,3.03,4.56,7.27,3.58,1.63,5.67,3.27,5.47,,
NH,2015,3.35,2.42,1.65,1.65,2.8,1.95,3.71,3.59,5.36,4.05,2.36,5.43,,
NH,2016,1.97,4.72,3.46,3.46,2.53,2.43,3.46,4.17,2.11,4.6,3.04,4.19,,
NH,2017,2.82,3.12,3.11,3.11,4.48,6.54,3.89,3.66,2.96,7.83,2.04,3.47,,
NH,2018,4.16,3.44,2.76,2.76,4.65,1.66,4.76,5.6,,,,,,
NJ,2010,2.64,4.62,8.66,2.51,3.35,2.24,4.07,2.51,3.18,5.38,2.17,3.27,,
NJ,2011,3.33,3.07,5.55,5.67,3.77,3.43,4.11,15.67,7.12,4.19,3.83,4.21,,
NJ,2012,2.78,1.33,1.65,2.87,4.27,4.3,3.43,4.62,4.45,5.43,1.3,5.56,,
NJ,2013,3,2.89,2.89,2.6,3.82,9.49,5.27,4.67,2.11,2.01,2.89,4.74,,
NJ,2014,3.12,4.96,3.97,4.42,4.72,3.32,5.23,4.08,2.5,3.64,4.34,4.65,,
NJ,2015,4.43,2.18,4.55,2.67,1.21,8.12,3.68,2.26,3.6,4.02,2.3,4.84,,
NJ,2016,3.19,4.08,1.87,2.26,4.79,2.4,6.97,2.08,3.45,2.8,2.43,3.27,,
NJ,2017,3.71,1.64,3.94,3.82,6.51,3.32,6.29,5.17,2.27,4.97,1.7,1.47,,
NJ,2018,2.73,6.08,4.63,4.17,5.85,3.29,5.98,5.63,,,,,,
NM,2010,1.44,1.18,1,0.87,0.47,0.89,3.7,2.26,1.43,0.81,0.1,0.67,,
NM,2011,0.08,0.34,0.15,0.25,0.23,0.17,1.7,1.84,1.66,1.08,0.47,1.83,,
NM,2012,0.28,0.36,0.27,0.39,0.81,0.33,1.95,1.62,1.31,0.29,0.18,0.62,,
NM,2013,0.5,0.39,0.22,0.18,0.22,0.64,3.48,2.16,4.19,0.43,0.86,0.4,,
NM,2014,0.03,0.17,0.47,0.37,1.06,0.55,3.19,2.16,3.15,0.67,0.63,0.75,,
NM,2015,1.41,0.72,0.71,0.74,2.54,1.57,3.7,2.05,1.1,2.89,0.85,1.05,,
NM,2016,0.52,0.27,0.08,0.98,0.98,1.05,1.25,3.21,1.83,0.32,1.34,1.11,,
NM,2017,1.71,0.61,0.47,0.98,0.73,0.93,2.65,3.03,2.41,1.08,0.11,0.11,,
NM,2018,0.16,0.74,0.27,0.15,0.48,0.87,2.41,1.73,,,,,,
NY,2010,2.41,2.72,3.64,2.09,2.63,5.57,4.02,4.47,3.3,6.9,2.86,3.31,,
NY,2011,2.01,3.53,4.51,6.78,6.17,4.25,2.55,7.76,7.12,4.61,2.98,3.44,,
NY,2012,3.29,1.27,1.97,2.9,4.12,3.34,3.14,3.19,4.91,4.94,1.18,5.31,,
NY,2013,2.12,2.38,1.8,3.1,4.31,7.46,4.62,3.85,3.5,3.21,4.03,3.61,,
NY,2014,2.6,2.92,3.05,3.57,4.64,5.11,5.33,3.69,2.12,3.98,2.72,3.49,,
NY,2015,2.34,2,1.61,3.02,2.75,7.69,3.6,3.07,4.75,3.7,2.05,4.06,,
NY,2016,1.73,4.36,2.13,2.56,2.53,2.87,3.4,4.54,2.49,5.43,2.66,3.47,,
NY,2017,3.39,2.99,3.44,4.85,5.85,4.85,5.25,3.46,2.42,5.54,2.76,2.56,,
NY,2018,3.45,3.18,3,3.86,2.77,3.29,4.63,5.29,,,,,,
NC,2010,5,3.77,4.06,1.56,4.68,3.65,4.05,4.52,7.81,2.71,1.59,2.87,,
NC,2011,1.95,2.56,5.23,3.63,3.14,3.14,4.34,6.98,5.36,2.88,4.33,2.44,,
NC,2012,2.86,2.22,4.14,3.22,6.24,2.85,6.13,5.92,4.42,3.32,0.93,4.36,,
NC,2013,4.69,4.09,2.67,4.68,3.96,9,8.41,4.79,2.79,2.22,3.53,5.61,,
NC,2014,3.29,3.11,4.61,4.91,3.62,4.18,5.25,5.22,5.47,2.89,3.77,3.76,,
NC,2015,3.95,3.5,3.43,4.35,2.62,5.2,4.38,4,5.31,7.07,7.2,7.31,,
NC,2016,2.8,5.81,2.14,2.78,5.57,4.32,5.18,4.49,7.59,5.63,1.11,3.19,,
NC,2017,3.96,1.19,3.64,6.5,5.95,4.7,4.49,5.15,3.86,4.37,1.3,2.85,,
NC,2018,3.79,3.07,4.1,5.14,6.79,3.96,6.22,6.52,,,,,,
ND,2010,0.79,0.56,0.76,1.58,4.08,3.61,2.76,2.4,3.98,1.09,0.63,1.24,,
ND,2011,0.96,0.33,1.05,1.87,4.06,3.89,3.79,2.46,1.49,1.06,0.16,0.32,,
ND,2012,0.33,0.51,0.51,2.06,2.04,2.62,2.21,1.52,0.2,1.97,0.68,0.44,,
ND,2013,0.34,0.52,0.97,1.06,5.5,3.69,2.2,1.63,2.76,3.52,0.21,0.88,,
ND,2014,0.41,0.18,0.43,2.1,2.38,4.75,1.57,4.44,1.19,0.53,0.46,0.17,,
ND,2015,0.48,0.41,0.42,0.59,4,3.63,2.65,1.59,1.57,1.32,0.49,0.57,,
ND,2016,0.22,0.39,0.53,2.53,2.31,2.61,4.33,2.44,3.05,1.23,0.91,1.3,,
ND,2017,0.48,0.4,0.47,0.97,1.01,2.2,1.24,2.79,2.47,0.25,0.31,0.4,,
ND,2018,0.23,0.35,1.39,0.5,1.97,4.54,2.73,1.64,,,,,,
OH,2010,1.76,2.05,2.85,2.18,5.37,6.32,3.45,2.72,2.11,1.93,4.14,1.88,,
OH,2011,1.47,4.58,4.24,7.63,6.55,3.81,3.8,3.93,5.89,4.36,5.42,4.27,,
OH,2012,3.38,1.62,3.09,1.93,3.68,2.12,3.45,2.97,5.1,4.47,0.83,4.64,,
OH,2013,2.61,1.88,2.42,3.84,2.28,5.92,6.68,2.7,2.63,3.64,2.96,4.13,,
OH,2014,2.08,2.6,2,5.28,3.98,5.42,3.45,4.14,2.19,2.97,1.93,2.52,,
OH,2015,2.46,1.47,3.52,4.58,3.34,8.03,4.75,2.49,3.07,2.76,2.24,4.3,,
OH,2016,1.34,3.24,4.01,3.4,3.4,3.29,3.23,4.2,3.72,2.93,1.31,3.32,,
OH,2017,4.08,2.03,4.49,4.08,5.3,4.62,6.27,2.32,1.86,3.77,5.15,1.56,,
OH,2018,2.31,5.4,3.3,4.63,4,5.48,3.32,4.87,,,,,,
OK,2010,1.86,1.92,2.03,2.63,4.8,4.12,4.46,1.69,4.13,1.67,1.87,0.86,,
OK,2011,0.28,1.57,0.74,3.49,4.47,1.17,0.79,2.36,1.72,2.79,4.38,2.48,,
OK,2012,1.86,1.86,4.56,3.45,2.15,2.45,1.16,2.42,2.94,1.2,0.63,1.02,,
OK,2013,1.77,3.24,1.59,3.81,4.73,3.87,5.28,3.34,2.58,3.1,1.72,1.67,,
OK,2014,0.33,0.49,1.74,1.69,3.14,5.71,4.47,1.55,2.57,3.44,2.2,1.44,,
OK,2015,1.21,1.18,2.41,4.85,14.44,4.81,5.43,2.45,2.07,3.26,6.05,5.56,,
OK,2016,0.5,1.02,2.47,6.05,3.86,3.26,3.72,2.9,3.53,1.87,1.25,0.76,,
OK,2017,2.57,2.05,2.61,6.61,4.48,2.59,3.86,6.41,2.62,3.61,0.26,0.97,,
OK,2018,0.53,4.09,2.09,2.18,3.91,3.72,3.14,4.29,,,,,,
OR,2010,4.52,2.59,3.57,3.89,3.02,2.85,0.23,0.39,1.54,3.59,4.62,7.1,,
OR,2011,3.15,3.25,6.37,3.94,3.4,1.45,0.67,0.08,0.23,2.06,3.54,2.54,,
OR,2012,5.82,2.9,7.19,3.32,1.89,2.45,0.45,0.08,0.09,3.77,5.39,6.73,,
OR,2013,2.6,1.61,1.86,2.17,2.42,1.49,0.2,0.86,4.23,0.99,2.4,1.89,,
OR,2014,2.35,5.78,5.52,2.52,1.8,1.14,0.5,0.67,1.14,3.5,4.14,6.23,,
OR,2015,1.98,3.58,2.59,1.55,2.17,0.42,0.76,0.38,0.83,1.93,3.85,10.13,,
OR,2016,5.16,2.48,4.96,1.78,1.57,1.03,0.66,0.1,0.61,7.24,3.83,5.26,,
OR,2017,4.97,6.48,5.76,3.9,1.59,1.37,0.07,0.21,1.36,3.09,5.11,2.2,,
OR,2018,4.14,2.3,3.4,3.27,1.26,1.13,0.16,0.27,,,,,,
PA,2010,3.08,2.66,3.57,2.31,4.02,3.63,4.64,3.11,3.41,5.15,3.29,3.44,,
PA,2011,1.9,3.73,5.79,8.06,5.7,3.18,2.98,6.88,10.1,4.96,3.94,3.78,,
PA,2012,3.36,1.5,2.89,2.15,5.1,3.3,4.73,3.52,5.11,5.58,1.01,5.24,,
PA,2013,2.97,1.98,2.14,3.02,3.23,6.11,5.09,3.85,2.37,3.65,3.42,3.99,,
PA,2014,2.32,3.24,2.6,3.85,5.29,5.31,4.53,4.28,1.88,3.73,2.44,2.96,,
PA,2015,2.44,1.52,3.19,3.86,2.57,8.36,4.33,2.57,4.32,3.78,2.06,4.1,,
PA,2016,2.39,3.94,1.96,2.63,3.88,3.35,3.79,4.09,3.55,4.31,1.49,3.62,,
PA,2017,3.82,2.2,3.98,4.32,5.95,4.62,6.14,3.84,2.06,5.09,2.89,1.7,,
PA,2018,3.28,5.4,3.12,4.17,5.49,5.32,7.35,6.11,,,,,,
RI,2010,3.29,4.76,14.75,1.95,2.73,3.77,3.7,3.2,2.94,4.36,3.67,4.2,,
RI,2011,4.06,4.56,2.52,5.35,3.4,4.41,2.73,8.16,6.36,7.47,4.52,3.99,,
RI,2012,3.3,1.17,1.41,3.22,4.58,4.23,3.78,4.17,4.53,3.93,0.99,5.82,,
RI,2013,1.86,4.79,2.49,1.8,3.58,10.19,2.88,3.32,3.18,0.89,3.98,4.21,,
RI,2014,3.31,4.23,5.91,4.57,3.25,2.31,4.67,2.54,0.86,4.44,5.14,6.01,,
RI,2015,3.71,2.67,4.15,2.5,1.03,5.34,3.12,2.53,4,4.02,2.59,5.22,,
RI,2016,3.2,5.26,2.66,3.99,3.45,1.44,2.6,2.85,2.75,6.32,3.21,3.53,,
RI,2017,4.84,2.32,3.72,6.56,6.33,3.75,3.6,1.89,3.16,7.41,2.75,2.78,,
RI,2018,5.79,5.68,5.5,5.39,2.33,2.7,2.39,4.72,,,,,,
SC,2010,4.92,3.34,3.06,1.34,3.6,4.51,4.86,5.96,4.91,1.47,1.23,1.99,,
SC,2011,1.87,3.4,5.02,2.87,2.95,2.62,3.89,4.27,4.27,2.25,2.85,1.95,,
SC,2012,2.19,2.23,3.64,2.55,5.72,4.17,5.51,7.45,2.54,1.77,1.46,4.54,,
SC,2013,2.48,6.2,3.35,4.7,3.56,7.7,10.38,6.4,2.04,1.16,3.16,5.26,,
SC,2014,3.15,3.31,4.34,4.24,3.97,3.43,4.62,4.31,5.47,1.81,4.44,3.94,,
SC,2015,3.56,4.06,3.18,4.47,1.63,4.12,3.47,5.71,4.35,12.17,7.24,6.7,,
SC,2016,2.83,4.66,2.21,2.4,5.58,3.61,3.78,3.84,6.83,5.55,0.99,3.97,,
SC,2017,4.88,1.38,2.34,5.51,5.15,4.43,5.5,4.55,4.83,3.25,1.19,3.56,,
SC,2018,2.82,2.23,3.11,4.49,6.19,3.75,5.68,4.27,,,,,,
SD,2010,0.61,0.6,1.19,2.38,3.69,4.92,3.73,2.02,3.26,1,0.33,0.95,,
SD,2011,0.93,1.13,1.05,2.29,4.5,4.52,3.15,2.32,0.63,1.11,0.24,0.26,,
SD,2012,0.41,1.13,0.37,3.06,2.79,2.18,1.54,1.12,0.2,0.83,0.32,0.63,,
SD,2013,0.45,0.7,0.67,2.33,4.82,3.12,2.47,2.41,1.91,5.01,0.3,0.75,,
SD,2014,0.24,0.36,0.76,1.97,2.42,5.89,1.04,4.04,1.61,0.57,0.62,0.67,,
SD,2015,0.27,0.34,0.24,0.87,5.72,4.05,3.02,3.36,1.33,1.44,1.02,1.12,,
SD,2016,0.27,0.58,1.04,3.76,2.54,1.78,2.74,2.61,1.97,1.23,0.91,1.25,,
SD,2017,0.68,0.37,0.66,1.94,2.12,2.19,2.12,3.17,2.5,1.24,0.23,0.42,,
SD,2018,0.3,0.95,1.53,1.7,2.69,4.78,3.34,1.96,,,,,,
TN,2010,5.3,3.12,3.88,3.09,9.01,3.33,4.34,4.37,2.02,2.75,5.64,2.8,,
TN,2011,3.18,4.21,6.96,9.83,5.02,5.68,3.17,1.58,6.56,2.55,7.56,6.29,,
TN,2012,4.88,2.9,4.86,2.01,3.25,2.15,5.75,3.58,5.81,4.09,1.7,5.91,,
TN,2013,8.64,3.01,4.97,7.88,5.66,5.83,6.96,4.25,3.72,1.85,3.71,6.79,,
TN,2014,2.7,5.18,3.93,5.81,2.91,6.81,4.13,5,2.23,7.01,3.22,4.59,,
TN,2015,2.81,4.56,5.41,5.96,3.68,4.76,6.48,4.53,2.73,3.96,6.38,7.9,,
TN,2016,2.76,5.79,5.16,3.2,3.8,3.99,4.86,5.03,1.8,0.73,3.05,6.87,,
TN,2017,4.23,2.37,5.81,6.59,5.94,4.35,5.36,4.9,4.31,4.91,2.75,4.63,,
TN,2018,2.55,10.73,5.67,5.97,4.99,5.74,3.46,4.16,,,,,,
TX,2010,2.37,2.59,1.87,2.69,2.27,2.78,5.12,1.28,4.31,0.76,1.04,0.73,,
TX,2011,1.55,0.65,0.27,0.7,1.56,0.98,0.74,0.74,1.14,2.23,1.28,2.86,,
TX,2012,2.27,2.29,3.07,1.27,2.88,1.86,2.7,1.84,3.95,0.69,0.31,0.97,,
TX,2013,2.46,1.21,0.66,1.77,2.42,2.33,3.1,1.41,4.05,3.31,1.94,1.36,,
TX,2014,0.37,0.73,1.11,0.98,4.1,3.01,2.58,1.73,3.59,1.76,2.83,1.22,,
TX,2015,2.67,1.09,3.47,3.96,9.05,3.72,1.85,1.43,1.43,6.17,3.87,2.52,,
TX,2016,0.95,1.06,2.85,4.3,4.86,3.37,1.31,5.33,2.96,0.67,2.34,2.1,,
TX,2017,2.28,1.71,1.88,2.75,2.54,3.11,2.46,7.01,2.61,1.26,0.75,1.98,,
TX,2018,0.64,2.43,1.96,1.05,2.07,2.52,2.19,2.23,,,,,,
UT,2010,1.58,1.11,1.3,1.39,1.24,0.79,0.83,1.38,0.26,2.57,1.4,3.38,,
UT,2011,0.39,1.21,1.27,2.02,2.81,0.54,1.72,0.96,0.96,1.42,0.9,0.51,,
UT,2012,0.97,1.04,0.73,0.73,0.28,0.03,1.41,1.07,1.04,0.96,0.67,1.76,,
UT,2013,1.01,0.52,0.73,1.28,0.97,0.02,1.5,1.4,2.74,1.01,1.02,1.01,,
UT,2014,0.61,1.06,0.99,0.94,1.02,0.24,1.14,2.46,2.66,0.2,0.75,1.26,,
UT,2015,0.92,0.63,0.85,0.98,3.2,0.97,1.46,1.27,0.88,1.8,1.07,1.38,,
UT,2016,1.42,0.62,1.2,1.7,1.36,0.33,0.62,0.94,2.08,0.89,0.95,1.93,,
UT,2017,2.75,1.55,1.59,1.17,0.64,0.16,1.38,0.94,1.54,0.18,0.53,0.4,,
UT,2018,0.88,0.85,1.29,0.86,1.14,0.05,0.91,1.06,,,,,,
VT,2010,2.51,3.11,3.94,3.32,2.34,5.73,3.98,4.52,3.4,9.16,3.17,4.03,,
VT,2011,2.29,3.56,4.7,6.22,6.77,4.96,3.43,10.08,6.11,4.48,2.06,3.56,,
VT,2012,2.95,1.22,1.77,3.3,5.56,3.87,3.54,3.29,5.51,5.18,1.13,5.03,,
VT,2013,1.87,1.92,2.38,2.62,5.98,7.96,6.33,3.41,4.41,2.37,3.88,3.43,,
VT,2014,3.11,3.18,3.38,3.25,4.68,4.57,6.27,3.48,1.85,5.13,2.55,4.63,,
VT,2015,2.79,1.79,1.34,2.71,3.06,8.63,4.08,2.95,4.73,3.48,1.81,5.07,,
VT,2016,1.62,4.71,2.96,2.6,2.74,3.29,3.83,4.82,2.12,3.55,2.78,3.6,,
VT,2017,2.53,2.84,3.31,4.19,5.72,6.45,4.23,3.54,2.93,5.26,2.19,3.1,,
VT,2018,3.51,2.93,3.03,4.7,1.98,3.84,4.25,4.25,,,,,,
VA,2010,4.18,2.96,4.61,1.73,4.25,2.53,2.82,4.56,5.36,3.79,2,2.95,,
VA,2011,1.58,1.68,5.28,4.75,4.33,3.28,4.16,5.14,6.83,3.78,3.86,3.63,,
VA,2012,2.26,2.54,3.87,3.04,4.14,2.85,4.63,4.74,4.14,4.09,0.67,3.08,,
VA,2013,5.95,2.27,3.7,3.56,4.37,7.02,6.46,4.47,1.64,3.09,3.03,5.81,,
VA,2014,2.69,3.36,3.29,4.73,4.35,3.49,3.82,4.69,2.97,4.03,3.13,3.21,,
VA,2015,2.59,2.66,3.75,4.51,2.15,6.95,5.05,2.65,5.73,4.58,3.92,5.22,,
VA,2016,2.93,4.71,2.05,2.34,6.92,5.04,4.82,3.23,5.27,3.52,1.37,3.21,,
VA,2017,3.96,0.86,3.17,4.86,7.46,3.4,4.13,4.65,2.03,4.53,1.38,1.12,,
VA,2018,2.67,4.34,3.16,4.41,7.26,5.89,5.47,5.84,,,,,,
WA,2010,6.24,3.38,3.72,4.04,4.28,3.28,0.41,0.74,3.46,4.29,5.78,7.7,,
WA,2011,6.53,4.09,7.81,4.67,4.09,1.44,1.06,0.2,1.29,3.34,6.1,3.2,,
WA,2012,6.35,4.76,7.87,3.93,2.31,3.93,1.43,0.1,0.16,6.47,7.31,8.25,,
WA,2013,3.97,2.76,3.75,4.23,3.01,2.26,0.16,1.6,5.6,1.37,4.03,2.94,,
WA,2014,4.42,6.28,7.78,3.78,2.44,1.73,0.77,1.47,1.79,6.01,6.1,6.23,,
WA,2015,4.96,4.3,4.32,1.82,1.51,0.47,0.42,1.33,1.5,4.18,7.02,11.42,,
WA,2016,6.82,5.08,6.99,1.6,1.54,1.83,1.16,0.36,1.67,10.29,6.87,4.93,,
WA,2017,3.64,7.17,8.53,4.88,2.42,1.55,0.04,0.14,1.35,5.06,8.86,5.09,,
WA,2018,7.74,4.39,3.29,5.48,1.09,1.34,0.24,0.4,,,,,,
WV,2010,3.58,3.35,3.44,2.01,5.56,4.56,4.83,3.48,2.61,2.59,2.85,3.57,,
WV,2011,2.25,2.95,5.74,7.59,5.15,4.05,3.91,3.81,6.43,4.87,4.54,3.81,,
WV,2012,3.09,2.3,4.92,2.86,4.94,2.64,5.88,2.58,5.23,4.58,0.77,4.83,,
WV,2013,4.41,1.83,3.28,2.5,3.98,5.96,6.17,5.51,2.39,2.15,3.4,6.01,,
WV,2014,2.25,4.18,3.04,3.06,4.24,4.54,4.03,4.42,2.2,5.19,2.31,3.33,,
WV,2015,2.41,2.74,5.36,6.34,2.36,6.43,6.46,2.71,4.05,2.76,2.28,4.72,,
WV,2016,2.61,3.65,2.53,2.91,6.01,6.26,4.93,3.63,2.86,3.53,1.87,4.57,,
WV,2017,4.8,1.75,4.31,4.35,6.16,4.7,6.17,3.39,1.91,5.26,2.34,1.87,,
WV,2018,3.11,6.85,3.97,4.95,6.16,6.24,4.88,5.82,,,,,,
WI,2010,0.89,0.57,0.73,2.34,3.15,7.12,7.5,4.64,6.31,2.34,1.71,1.72,,
WI,2011,0.91,1.13,2.38,3.71,3.05,4.22,4.61,3.04,3.08,1.51,1.95,1.45,,
WI,2012,1.02,1.29,2,2.68,4.81,3.34,3.19,2.34,1.5,3.78,1.11,1.74,,
WI,2013,1.69,1.63,1.93,4.85,5.37,6.21,2.46,2.77,2.17,3.54,2.33,1.58,,
WI,2014,1.13,1.27,1.1,5.04,3.8,6.71,2.51,5.2,3.86,3.07,2.03,1.36,,
WI,2015,0.53,0.42,0.73,2.94,4.65,4.44,3.38,4,4.39,2.7,3.42,4.28,,
WI,2016,0.84,0.82,3.93,2.21,3.06,5.36,5.2,5.21,5.99,2.95,1.84,1.98,,
WI,2017,2.02,1.34,1.99,4.6,4.94,5.94,4.47,4.1,1.9,4.3,0.91,1.07,,
WI,2018,1.19,1.5,0.92,2.53,4.68,5.46,3.06,5.68,,,,,,
WY,2010,0.59,0.58,1.11,2.32,3.23,2.63,1.11,1.01,0.35,1.28,1.35,1.69,,
WY,2011,1.01,1.03,1.48,2.49,4.59,1.59,1.01,0.81,0.54,1.8,1.36,0.84,,
WY,2012,0.92,1.29,0.57,1.19,1.53,0.45,1.12,0.26,0.46,1.11,0.87,1.19,,
WY,2013,0.74,0.79,0.71,1.87,2.19,0.68,1.32,0.9,2.88,2.53,0.56,1.15,,
WY,2014,0.94,1.7,1.76,1.38,1.76,1.77,1.18,2.33,1.95,0.57,1.41,1.35,,
WY,2015,0.62,0.94,0.58,1.7,4.59,1.89,1.53,0.91,0.64,1.11,1.09,1.11,,
WY,2016,0.87,0.8,1.99,2.52,2.46,0.66,0.7,0.84,1.97,1.81,0.84,1.82,,
WY,2017,1.66,2.02,1.88,2.8,1.8,1.09,0.97,0.94,2.21,0.78,1.48,1.01,,
WY,2018,0.9,1.23,1.35,1.46,3.03,2.1,1.16,1.02,,,,,,
