State,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
MT,2017,15.2,25.5,35.8,42.2,52.3,60.7,71.6,65.5,55.2,42.6,30.7,21.1
MT,2018,21.8,11.5,28.3,38,55.7,59.2,66.9,64.6,,,,
NE,2010,22.1,23,39.7,51.7,56.3,69.6,74.5,74.8,63.6,54,36.7,26.1
NE,2011,20.4,24.5,37.1,47.5,56,68.2,77.7,73.9,60.6,52.7,38.2,28.6
NE,2012,30.4,29.3,50.8,53.5,62.3,73.4,80,73,64.1,48.2,40,27.6
NE,2013,25.5,28.8,34.8,42.5,58.5,68.8,73.2,73.8,68,48.8,36,22.8
NE,2014,25.4,20.8,35.4,48.3,58.5,68.1,71.2,72.2,62.9,53.2,32.2,28
NE,2015,27.2,26.1,42.9,50.5,56.2,69.8,73.4,70.9,68.6,54.3,40.1,29.7
NE,2016,26,35,43.9,49.9,57.2,73.3,74.2,71.8,65,55.4,44.3,23.8
NE,2017,24.8,35.4,42.2,49.7,57,70.7,76.8,69,65.1,51,39.9,26.6
NE,2018,23,21.7,38.4,41.2,63.8,72.2,73.4,70.9,,,,
NV,2010,32.9,35.8,39.9,44.2,49.2,64.8,74.1,69.9,63.9,52.9,37.4,35.6
NV,2011,32.9,32.8,40.6,44.4,50.8,62.4,71.9,72.5,65.6,52.4,37.6,30.9
NV,2012,35,34.6,42.4,49.9,58,66.2,73.7,74.2,66.2,53.4,43.4,31.3
NV,2013,26,33.3,44.7,48.4,56.5,68.6,76.3,71.6,62.5,48.1,41.5,28.4
NV,2014,37.1,39.2,43.4,49,57.4,66.7,76.1,69.5,65.5,55.4,41.5,35.6
NV,2015,37.7,42.8,47.6,47.8,55.4,71,70.9,72.7,65.9,56.2,35.9,30.8
NV,2016,31.1,38,44.2,50.1,55.1,69.7,73.7,72.1,62.3,53.2,43.2,30.5
NV,2017,29,38.1,45.6,47.1,57.1,68.6,76.2,73.5,61.6,50.4,44.4,34.7
NV,2018,38.5,33.7,39.6,50,57.8,67.8,77,73.3,,,,
NH,2010,21.1,25.3,37,46.7,56.7,63,70.4,66,60.1,46.3,36.1,23.1
NH,2011,16.8,18.7,29.3,42.4,55.8,62.1,69.1,66.2,61,48.2,40.2,29.4
NH,2012,22.7,26.9,38.9,44.2,57,62.1,68.9,68.2,57.5,49.7,34.3,28.7
NH,2013,20.2,23.1,30.8,42,54.9,63.2,70.6,64.8,57.4,48,33.2,22.2
NH,2014,16.5,18.1,21.6,41.6,54,62.8,67.9,64,57.8,49.8,33.8,28.7
NH,2015,14.6,8.1,23.8,40.6,58.9,60.2,66.9,67.6,62.7,45.2,39.6,35.2
NH,2016,22.9,25.6,35.2,40.2,54.8,62.6,68.5,68.2,60.5,48,37.9,24.4
NH,2017,25.7,26.7,25.3,45.8,52.1,62.4,66.4,64.1,62.1,53.7,34.5,19.6
NH,2018,18.3,26.9,30.4,38,57.1,61.2,69.8,69.3,,,,
NJ,2010,31.2,31.1,46.2,55.5,64,73.9,78.3,74.9,69.2,56,45,30.8
NJ,2011,27.2,34.4,41.2,53.9,63.7,71.9,78.4,73.5,68.9,55.8,48.9,40.5
NJ,2012,35.6,38.9,49.8,52.6,65.1,70,77.8,74.7,67,56.8,41.5,40.6
NJ,2013,33.9,32.8,38.6,51.5,60.9,71.2,77.8,71.4,64.4,57.1,42.9,36
NJ,2014,26,29.5,35.4,50.3,62,70.6,74.1,70.8,66.9,57,42,38.7
NJ,2015,27.9,22.3,35.9,51.5,66.1,70.3,75.2,74.3,70.7,54.5,49.7,48
NJ,2016,31.4,36,47,50.7,60.2,70.6,77.2,76.9,69.7,56.7,46.7,36.3
NJ,2017,36.2,40.4,39,55.9,59.9,70.4,75.5,71.7,68.3,60.5,44.4,33.3
NJ,2018,29.2,39.4,38.3,47.8,65.2,69.9,76.1,76.8,,,,
NM,2010,33.6,35.1,43.1,52.7,59.9,72.6,73.4,72.3,68.3,56.7,42,40.4
NM,2011,33.8,35,49.2,55.6,59.6,73.1,76.6,76,66.3,55.3,43.5,31.4
NM,2012,38.6,38.2,47.8,56.6,63.4,74.2,74.4,73.9,66.2,56.1,46.6,36
NM,2013,32,36.1,46.6,52.6,61.6,74.1,73,72.3,66,52.6,42.7,34.5
NM,2014,36.4,41.9,46,52.3,60.1,72.4,74.2,70.5,66.5,57.4,42.4,37.6
NM,2015,35.6,41.4,47.6,52.5,58.3,71.6,73.1,73.4,69,57.5,43.4,35.9
NM,2016,34.3,42,48.3,52.3,59.4,73,76.9,70.1,65.9,59.6,46.7,37.8
NM,2017,37.1,44.4,51.1,53.6,60,72.7,74.5,70.7,66.2,56.2,50,38.6
NM,2018,36.9,41.2,47.3,55.1,65.5,74.4,75.1,73,,,,
NY,2010,21.8,24.1,38.2,49.2,58.6,65.1,71.4,68.2,60.9,48.5,37.9,23.1
NY,2011,18.6,21.8,30.9,45,58,65.1,71.4,67.6,62.6,49.6,43.1,31.8
NY,2012,26,29.9,43.3,43.9,60.5,64.6,71.4,68.4,59.9,50.9,35.7,31.6
NY,2013,24.3,23.3,30.6,43.4,57.2,64,71.2,65.8,58.3,50.8,34.4,25.4
NY,2014,16.9,18.8,23.6,43.5,56.7,65,67.4,65.3,60.1,51.3,35.3,30.2
NY,2015,16.2,9.2,25.5,43.3,61,63,68.1,67.5,65,47.4,42.8,39.3
NY,2016,23.7,26.7,37.7,41.3,55.7,64.1,70.4,70.9,62.9,50.5,40.2,27.6
NY,2017,27.9,30.6,28.2,48.8,54,64,68.1,65.7,62.4,54.8,36.2,22.7
NY,2018,19.2,29.4,29.9,37.8,60.1,63.4,71.3,70.6,,,,
NC,2010,36.6,36.9,49.5,61.3,69.6,78.8,79.4,78.6,73.1,60.9,50,33.6
NC,2011,36.3,45.7,50.6,61.5,67.6,77,80,77.7,71,58.2,52.4,46.9
NC,2012,43.9,45.8,58.7,59.2,69.6,72.3,80.4,75.7,69.8,59.5,46.3,47.6
NC,2013,44.1,41.8,44,58.7,65.1,74.3,77,74.4,69.4,60.7,47.8,45.4
NC,2014,35.3,43,45.5,59.2,68.5,75.2,75.7,74.3,71.2,61.4,45.8,45.1
NC,2015,39.4,34.9,50.7,60,68.6,77.3,78.5,76.1,71.6,60,54.4,54.7
NC,2016,38.4,43.2,56.2,58.7,65.8,75.3,80.1,79.2,74.3,63.2,51.7,44
NC,2017,45.4,50.7,50,63.9,67.8,73.8,78.7,75.9,70.6,62.7,50.3,42.4
NC,2018,35.8,51.8,46.2,56,71.7,76.8,77.3,77.2,,,,
ND,2010,9.7,9.3,31.6,47.2,52.4,63.1,68.8,69,54.6,48,27.2,9.6
ND,2011,6.4,10,19.2,39.1,50.9,62.4,71.1,68.6,58.3,48.4,30.5,23
ND,2012,20,21,40.6,45.8,55,65.5,74.1,67.4,58.2,41.2,27.5,13.3
ND,2013,11.4,16.8,17.6,31.3,53.4,63.3,68.3,68.6,62,41.6,26.2,5
ND,2014,8.5,5.6,22.7,38.2,53.7,62.5,66.8,67,57.8,46.5,20.2,18.2
ND,2015,16,8.4,33,44.3,52.4,65.1,69.9,68,62,47.8,32.5,21.1
ND,2016,14.6,25.6,36.3,41.8,56.6,66,69.3,68,58.6,46.1,39.3,10.2
ND,2017,11.2,20.5,27.5,42.8,54.8,64.8,72.2,65.3,58.3,45.1,26.4,15.6
ND,2018,11.8,5.4,24.7,33.2,60.2,67.4,69.3,67.6,,,,
OH,2010,25,25.7,42.2,55.4,63.4,72.2,75.1,74.2,65.9,54.7,41.9,24.8
OH,2011,23.5,30.5,39.6,52.1,61.7,70.4,77.3,71.9,64.2,52.7,46.9,36.9
OH,2012,32.1,35.1,52.2,50.2,66.4,70.3,77.5,71.4,63.3,52.4,39.6,37.7
OH,2013,30.5,29.2,35,50.6,63.2,69.5,72.5,70.2,64.5,54.3,39,32
OH,2014,19.8,23.4,33.6,51.4,61.7,70.6,69.4,71,64,53.3,36.8,35.3
OH,2015,24.4,17.3,35.9,51.5,65,69.8,71.6,70.1,68.4,54.4,47.3,43.7
OH,2016,27.2,33.6,46.5,50.2,59.7,71.2,74.8,76,69.2,57.7,45.8,31
OH,2017,34.6,40.5,40.4,56.6,60.2,69.6,73,69.6,65.8,57.4,41.8,29.2
OH,2018,24.9,36.6,36.4,45.1,68,71.4,73.8,73.8,,,,
OK,2010,35.2,35.7,49,61.5,68.2,81,81.9,83.9,75,62.3,50.4,39.5
OK,2011,35,39.4,52.4,62.1,67.7,83.4,89.2,87.7,71.1,61.8,50,39.9
OK,2012,42.7,43.8,59.6,64.3,72.6,79,85.9,81.5,74.4,59.6,52.2,42.2
OK,2013,39.7,41.1,47.5,54.7,67,78.1,79.6,80.3,75.8,60.4,46.6,35.2
OK,2014,36,36.1,46.3,59.4,68.9,77.3,77.8,80.7,73.3,64.6,44.4,41.8
OK,2015,37.7,37.8,51.1,61.4,66.1,78.4,82.1,79.3,76.6,63.4,51.4,44.6
OK,2016,38.2,47.4,54.7,61.4,66.2,79.2,83.2,80.8,75.3,67.1,55.4,38.8
OK,2017,40.8,50.4,56,61.2,66.9,77.3,82.4,77.2,73.3,62.2,52.7,40.4
OK,2018,36.6,40.8,52.9,54,75,80.6,82.7,79.8,,,,
OR,2010,36.9,37.6,39.5,42,46.4,55.6,65.3,63.5,58.5,50,36.7,33.4
OR,2011,33.9,32.6,37.9,39.5,46.5,54.9,62.7,66.1,62.6,49,37,32.6
OR,2012,34.4,34.6,38.3,45.9,50.8,55.5,66.3,67.7,61.8,48.8,40.6,31.5
OR,2013,29.7,35.1,40.9,44.6,52.5,59.4,69.4,66.5,58.3,46.2,39.4,29.7
OR,2014,36.7,35.3,41.8,45.8,53.3,58.1,70,66.6,60.8,52.9,38.2,36
OR,2015,38.1,41.7,45.7,44.7,53.5,65.6,67.5,66.9,58.1,54.3,35.8,32.4
OR,2016,33.1,40.2,41.2,50.1,53.2,60.5,64.4,66.7,57.1,48.1,43.2,27.4
OR,2017,26.8,34.8,41.6,42.9,52.9,59.9,69.2,69.6,59.7,47,39.3,32.9
OR,2018,37.5,33.2,38.4,45,55.4,58.5,69.1,66.5,,,,
PA,2010,25.7,25.8,42,52.4,60.5,69.3,73.3,70.8,63.6,51.4,40.8,25.4
PA,2011,22.5,28.6,36.3,49.7,61,68,74.3,69.4,64.4,50.8,44.9,35.3
PA,2012,30,34.3,47.7,47.7,63.7,66.5,74.1,69.8,62,52.2,37.8,35.8
PA,2013,29,27.4,33.8,48.7,58.9,67.4,72.7,67.6,61,53.4,37.4,30.8
PA,2014,19.6,22.8,30.3,47.7,59,67.6,69.1,66.9,62.5,53,36.7,34
PA,2015,22.5,16.1,31.6,48.4,63.4,67.1,70.4,68.9,66.6,50.7,45.5,42.3
PA,2016,25.4,30.7,43.3,47,57.4,67.4,73,73.4,66.2,53.6,42.6,31.2
PA,2017,31.8,36.6,35.3,53.6,57.1,66.8,71.4,67.4,63.7,56.2,39.2,28
PA,2018,23.1,34.3,33,43.2,63.9,66.6,71.7,72.1,,,,
RI,2010,28.4,31.4,43.6,52,60.9,68.9,75,70.8,65.5,53.5,43.3,30.3
RI,2011,25.2,28.8,38,49.1,58.9,66.2,73.8,71.3,66.5,54.9,47.8,39
RI,2012,33.5,35.7,45.5,50.1,60.6,65.7,73.6,72.5,63.3,55.4,41,37.6
RI,2013,30.4,30.2,37.1,47.7,58.5,68,76.4,69.1,32.1,54,41.3,33
RI,2014,26.1,27.2,32.8,47,58,66.4,72.3,68.6,64.4,55.3,41.4,37.4
RI,2015,25.5,17.7,31.8,47.2,61.2,64.5,72.3,72.6,67.6,52.4,47.1,45.3
RI,2016,31.3,33.1,42.9,46.2,57.9,66.9,73.8,73.9,66.4,54.7,45.2,34.2
RI,2017,34.2,35.2,34.1,51.4,56.5,66.7,71,69.7,66.3,59.6,43,30
RI,2018,27.6,37.6,37.2,44.4,61.4,65.9,74.1,75,,,,
SC,2010,40.7,41.2,52.2,64.5,73.2,81.8,82.3,81.6,76.6,64.4,54,38.3
SC,2011,40.6,50.4,55.8,65.1,71.3,80.8,82.8,81.4,74.1,61.1,55.3,50.7
SC,2012,48.3,50.7,63.2,64.2,72.7,74.8,82.8,78,73.6,63.7,50.7,51.5
SC,2013,50.2,46.6,48.4,62.1,67.9,77.4,78.8,77.4,73.5,64.2,51.5,49.9
SC,2014,39.7,48.2,50,63.3,71.7,78.4,79.2,78.3,74.3,65,49.3,49.2
SC,2015,43.8,41,56.4,64.8,71.6,80.5,82.2,79.5,74.3,63.3,58,58.5
SC,2016,43,48,60.6,63.1,70.1,79.8,83.7,81.9,77.1,66.4,55.6,49
SC,2017,51.3,55.4,55.5,67,71.5,76.9,81,79.5,74.3,66.3,54.3,47.8
SC,2018,40.6,57.4,52,60,73.7,80.1,80.2,80,,,,
SD,2010,14.8,14.6,36.3,49.3,54.2,65.9,72.4,73.6,59.1,51.6,32.1,17.7
SD,2011,13,16.3,27.3,43.1,53,64.7,75.9,71.6,59.9,51.3,34.4,26.8
SD,2012,25.4,25.7,47,50.2,58.3,70.4,78.7,71,62.6,45.6,34.9,21.4
SD,2013,19.4,23.8,28.1,36.9,55.9,65.3,71.8,71.6,65.8,44.3,32.1,13.5
SD,2014,18.3,13.9,29.4,43.4,55.6,64.2,69.5,69.3,60.5,50.3,25.6,24.2
SD,2015,22.7,19.5,39,47.7,53.8,67.6,72.1,69.8,65.9,51.6,36.4,24.3
SD,2016,19.8,31.2,40.1,46.3,56.7,70.7,73,71,62.4,51.6,42,15.4
SD,2017,16.5,29.4,35.5,46.1,55.9,68,76,67.4,61.8,48,34.7,21.8
SD,2018,18,11.6,30.4,36.6,62,69.3,72.4,70.1,,,,
TN,2010,32.8,33.7,47.2,60.9,69.1,78.4,79.8,79.8,71.6,59.2,49.8,32.7
TN,2011,33.9,43.1,50.6,61,65.7,76.5,80,77.8,68.1,56.8,51,42.8
TN,2012,42.4,44.5,59.9,60,70.5,73.6,80.5,75.6,69.1,56.7,45.8,45.6
TN,2013,41,40.8,42.7,56.8,65.1,74.2,74.8,74.7,70.7,59.5,44.8,40.4
TN,2014,30,38.3,45,58.6,67.3,74.8,73.4,75.9,70.7,60.2,42.4,42.8
TN,2015,36.1,31.4,49,60.1,68,75.9,78.3,74.2,70.9,59.7,53.5,51.3
TN,2016,34.8,42.5,53.9,59.5,65.3,76.5,79.8,79,74.1,64.6,52.7,40.9
TN,2017,45,48.9,51.2,63.1,66.6,73,78.1,74.6,69.1,60.7,50,39.6
TN,2018,32.9,48.5,48.2,52.8,72.3,76.5,78.1,76.5,,,,
TX,2010,44.4,44,54.8,65,73.8,82.7,81.4,84.4,77.7,67.2,56.6,49.2
TX,2011,45,48.7,61.8,70.3,74.1,85.2,87,88.2,77.9,66.9,56.9,46.1
TX,2012,50.4,51.8,63.2,70.2,75.5,82.4,83.4,83.7,76.6,65.9,59,51.1
TX,2013,47.9,51.7,57.2,63,72.5,81.8,81.3,83.3,78.2,66.7,52.9,44.8
TX,2014,44.5,48.4,54.8,65.4,72,80.6,81.7,82.6,76.4,69.6,51.5,50.7
TX,2015,44,48.2,56.2,66.6,71.6,79.3,83.2,83.3,79.2,69.2,57.3,51.5
TX,2016,46.4,54.4,61.2,66.1,71.6,80.1,85.4,81.5,77.6,70.9,61,49.6
TX,2017,50.8,58.4,63.6,67.1,72,80.5,83.6,80.6,76.5,66.5,60.3,47.8
TX,2018,43.9,52.2,61.7,63,78.1,83.9,84.4,83.1,,,,
UT,2010,27,29.9,38,44.7,50.2,65.4,73.1,69.3,63.8,51.1,34.8,32.5
UT,2011,25.4,28.6,39.4,43.5,50.8,63.3,71.8,72.5,63.2,50,36,26.8
UT,2012,31,31.7,42.6,49.6,58,68.7,73.2,73,63.6,50.9,41.2,27.8
UT,2013,19.7,27.6,41,45,56,69.2,74.6,71,61.4,46.4,38,23.1
UT,2014,30.4,35.7,41,46.7,56.5,66,74.6,67.7,64.2,53.1,37.7,31.7
UT,2015,32.1,38.9,44.9,47.1,53.8,70,70.1,71,65.5,54.3,34.5,26.6
UT,2016,26.6,33.7,42.2,47.9,54.4,70.9,73.7,70.1,61.1,53.2,41.6,27.4
UT,2017,25.9,36.5,45.3,45.9,55.6,69.4,75.1,71.6,60.7,48.1,43,31.4
UT,2018,32.9,32.2,39.2,49,58.3,69.2,76.1,72.5,,,,
VT,2010,20.1,23.5,35.9,46.2,56,61.8,69.4,65.4,59.2,45.2,35,20.8
VT,2011,15.7,17.6,27.5,41.7,56.2,62,68.5,65.8,60.8,47.7,40.2,27.9
VT,2012,21.4,25.6,38.7,42.7,57.5,62.2,68,67.1,57.2,49.3,33.1,27.4
VT,2013,18.6,21.5,29.5,40.8,55.1,62,69.7,64.1,56.5,47.8,31.8,21.4
VT,2014,14.6,16.6,18.6,40.5,53.6,62.6,66.5,63.3,57.5,49.3,33.3,27
VT,2015,12.2,5.3,22.3,39.5,58.6,59.9,66.2,66.6,62.4,44.3,39.2,35.1
VT,2016,20.9,23.9,33.6,38.2,54,62,67.4,67.5,59.9,47.7,36.8,23.9
VT,2017,24.7,25.4,23.5,45.1,51.7,61.4,65.2,63.2,60.7,52.7,32.9,17.9
VT,2018,16.5,25.5,28.2,36.1,56.4,60.1,69.2,68.5,,,,
VA,2010,32.7,31.9,47.4,58.6,66.2,76,77.9,76.1,70,58,46.3,30.1
VA,2011,32.1,40.9,46,58.2,64.9,73.4,77.9,74.9,68.2,55.5,49.4,42.5
VA,2012,38.9,41.9,55.2,55.6,67.3,70.2,78.7,74,66.9,56.4,42.7,42.9
VA,2013,38.5,36.8,40.1,56,62.5,72.2,75.6,71.8,66.3,57.6,43.7,40.3
VA,2014,29.4,37,40.7,55,65.2,72.5,73.4,71.3,68.1,57.8,42.1,40.8
VA,2015,33.8,28.9,44.2,55.9,67.1,73.7,75.3,73.2,69.3,56.3,51.1,49.6
VA,2016,33.1,38.4,51.8,55.1,61.9,71.8,77.3,77,71.8,59.8,48.3,39.1
VA,2017,40.1,46,45.9,60.6,63.4,71.1,76.8,72.8,67.4,60.2,46.1,37.2
VA,2018,31.9,45.2,41.2,52.1,69.7,73.1,75.2,75.4,,,,
WA,2010,36.3,38.5,40.9,44.6,48.7,55.9,64.2,63.5,57.1,48.6,34.8,31.9
WA,2011,32.1,31.1,38.4,40.2,48.6,55.5,61,64.9,61,47.2,35.3,31
WA,2012,30.7,34.5,37.6,46,50.9,55,65.2,66.2,59.7,47.4,39,32.5
WA,2013,29.1,35.5,40.2,44.7,53.5,58.7,67.2,66.2,59.7,46.1,36.7,28.2
WA,2014,34.1,29.8,40.1,45.8,54.3,58.3,68.6,67.3,59.8,51.9,36.3,34.2
WA,2015,35.1,40.7,44.8,45.7,56,65.5,68.6,66.6,56.2,52.4,36,32.1
WA,2016,33,39.1,41.8,51.6,55.1,59.9,63.6,65.9,56.4,47.4,43,26.1
WA,2017,24.8,31,39.3,44.2,53.6,59.4,67.1,68.6,59.7,46.1,37.7,29.9
WA,2018,35.3,32.4,38.8,45.3,57.5,58.1,67.7,66,,,,
WV,2010,27.7,27.2,43.4,55.6,63.4,71.9,73.8,73.3,65.6,54.2,43.2,25.3
WV,2011,27.1,36.8,42.6,55,62,69.5,74.9,71.6,65.1,52.2,46.7,38.5
WV,2012,34.9,37.7,52.6,51.7,65.8,67.5,75.3,70.8,63.9,52.9,39.5,39.2
WV,2013,33.9,32.3,36.4,52.9,60.5,69.2,72.4,69.2,63.9,54.7,39.9,36
WV,2014,23.5,30.9,37.1,53.1,61.7,70,69.6,69.1,64.8,53.9,37.8,37.9
WV,2015,28.8,22.9,40,53.1,64.7,70.5,72.1,69.9,67.1,54,48.3,46.3
WV,2016,27.6,34.9,48.5,53,59.5,69.5,73.7,75.1,69.4,57.3,45.6,35.6
WV,2017,37.6,42.2,42.3,57.5,61,67.7,72.4,69.3,64.6,57.6,43.2,33
WV,2018,27,41.6,38,47.7,67.8,70.1,72.5,72.4,,,,
WI,2010,15.1,20,37.4,50,57.6,65.1,71.4,70.8,56.9,49.5,34.9,16.9
WI,2011,12.2,18.5,28,41.7,54,64.3,73.2,68.2,57.3,49.8,36.7,25.7
WI,2012,20.8,26.6,45.6,45.1,59.6,67.1,74.8,67.1,57.7,44.8,34.4,25.1
WI,2013,16.8,17,23.9,37.8,55.2,63.9,68.9,67.6,60.8,46.7,30.8,11.9
WI,2014,6,7.3,21.4,39.7,55.3,66.4,65.9,67.1,58.2,46,25.3,24.1
WI,2015,15.3,7.6,30.7,45,56.6,63.8,68.4,66.1,64.7,48.4,39.4,31.8
WI,2016,16.2,22.6,36.8,42.9,56.1,65.8,69.9,69.5,62.6,50.4,41.6,19.9
WI,2017,19.5,27.8,30.1,46.4,53.3,65.5,68.8,64.2,62.2,50,31.4,17.3
WI,2018,15.2,16,29.7,33.4,61.9,66.5,69.8,68.5,,,,
WY,2010,22.2,21.5,34.2,39.2,44,57.4,65.1,64.1,56.3,47.1,28.5,23.8
WY,2011,20.3,18,32,37.1,44.2,56.4,67.3,66.4,56.4,44.8,28.8,21
WY,2012,25.1,22.7,39.4,44.7,50,62.8,70,66.6,57.5,41.6,35,22.1
WY,2013,19.9,22.6,31.3,34.7,50.4,60.7,67.8,66.7,57.3,39.3,31.3,18.1
WY,2014,23.3,20,32.3,39.6,50.1,56.4,66.4,62.5,55.8,46.9,27.4,24.8
WY,2015,25.6,28.4,37.7,41.3,47,63,63.9,64.3,59.4,48.7,29.2,21.4
WY,2016,22.7,30.1,34.5,41.8,47.9,63.8,66.8,63.5,55.4,46.5,37.1,16.8
WY,2017,16.9,27.8,38.4,40.2,49.3,60,69,63.5,54.2,41.1,34.7,23.9
WY,2018,25.3,19.2,32.5,39.8,52.9,60.4,67.5,63.6,,,,
